messages,sentiment
I'm so happy to be finally done with exams!,1
This is the worst day ever. Everything went wrong.,0
The food was amazing! I highly recommend this restaurant.,1
I'm feeling so frustrated with this project. It's not working.,0
Just got a promotion! So excited for this new chapter.,1
Traffic was a nightmare this morning. I was late for work.,0
Had the best time at the beach today. The weather was perfect.,1
Feeling really down today. Need some cheering up.,0
Just finished reading a great book. I couldn't put it down.,1
My phone broke! This is a disaster.,0
Super grateful for my friends and family. They are the best.,1
I'm so bored. There's nothing to do.,0
The concert last night was incredible! The band was amazing.,1
I'm feeling anxious about my presentation tomorrow.,0
Received a surprise gift today. So touched!,1
Lost my keys again. Ugh!,0
Absolutely loving this new song! It's stuck in my head.,1
Feeling really overwhelmed with all this work.,0
Had a great workout at the gym. Feeling energized!,1
My flight was delayed. So annoying.,0
So thankful for my health and happiness.,1
This movie is so boring. I want to leave.,0
The customer service was excellent. They were very helpful.,1
I'm feeling really lonely tonight.,0
Just adopted a puppy! He's so cute.,1
My computer crashed and I lost all my work.,0
Had a delicious brunch with my friends this morning.,1
Feeling really insecure about my appearance.,0
Finally finished that challenging task. Feeling accomplished!,1
My car broke down on the highway. What a mess!,0
So grateful for all the opportunities I have been given.,1
This coffee tastes terrible.,0
The customer support was extremely helpful and efficient.,1
I am feeling really down today after receiving some bad news.,0
"I finally got the job I wanted, I'm so excited!",1
I accidentally deleted all my vacation photos!,0
This new video game is awesome and addictive!,1
My stomach is upset after eating lunch at that place.,0
"I received an award at work, what a pleasant surprise!",1
"My landlord won't fix the broken pipe, this is a nightmare.",0
I had a wonderful time at the party last night.,1
I can't believe they canceled my flight at the last minute!,0
"My neighbors helped me jump start my car, they were so kind!",1
"I wish I could redo that interview, it was a disaster!",0
I'm so happy with my new hair cut!,1
"The presentation was boring, I almost fell asleep!",0
This new app is so well designed and easy to use!,1
I think someone stole my wallet while I was shopping.,0
I'm so glad my best friend came to visit me this weekend!,1
"My roommate left dirty dishes in the sink again, so frustrating!",0
I just finished reading my favorite authors new book! I could not put it down.,1
I can not believe they ran out of my favorite cereal at the store.,0
"My boss gave me a bonus, this is fantastic!",1
"I woke up late, and missed the bus!",0
I had a blast hanging out with my cousins last night!,1
I can't believe my favorite show got canceled!,0
The museum had amazing exhibits! I learned a lot.,1
I just got a flat tire! This is going to cost a lot of money.,0
I am thankful for the friends I have met through university.,1
My new phone case already has a crack in it!,0
I just finished the workout program that was tough but worth it!,1
The store clerk was very rude to me.,0
I loved the surprise birthday party that my coworkers organized for me!,1
I spilled coffee on my shirt before leaving for work this morning.,0
I'm so grateful to be able to spend Thanksgiving with my family.,1
The food here is bland.,0
I found a website that provides free classes!,1
I feel tired after working out all day!,0
The hotel's room service was perfect!,1
I stubbed my toe on the way to get water.,0
My mom supported me through all my decisions!,1
I dropped my phone in the toilet,0
It was amazing when I saw the northern lights on vacation,1
I had a terrible date last night! I don't want to see him ever again,0
Feeling so bummed out. My favorite coffee shop closed down.,0
Just landed my dream job! I'm over the moon!,1
"This presentation is so boring, I can barely stay awake.",0
Had an amazing picnic with friends in the park today.,1
My phone screen cracked again! So frustrating.,0
Feeling grateful for my family's unwavering support.,1
This new restaurant is overpriced and the food is terrible.,0
Just finished a challenging hike and the view was breathtaking.,1
Lost my wallet on the bus this morning. Great start to the day...,0
Received a surprise birthday package from my best friend!,1
"This software is so buggy, it's driving me crazy.",0
Had a wonderful time volunteering at the animal shelter today.,1
My train was delayed due to a signal failure. So inconvenient.,0
Feeling so lucky to have such amazing opportunities in my life.,1
This movie was a complete waste of money.,0
Spent the afternoon gardening and my flowers are blooming beautifully.,1
My car got towed for parking in the wrong spot. Ugh!,0
So thankful for my health and the ability to enjoy each day.,1
"This book is so confusing, I can't understand anything.",0
Just got back from a relaxing spa day. Feeling refreshed!,1
My laptop crashed right before my deadline. Panic mode!,0
Feeling blessed to have such a supportive network of friends.,1
"This new diet is so restrictive, I'm starving all the time.",0
Had a fun weekend exploring a new city with my partner.,1
My apartment is flooding and I don't know what to do!,0
Feeling inspired to pursue my passions and dreams.,1
"This product is a scam, don't waste your money.",0
Spent the day baking cookies with my grandma. So heartwarming.,1
My online order got lost in the mail. Seriously?,0
So grateful for the small moments of joy in everyday life.,1
This video game is repetitive and lacks any creativity.,0
Just finished a challenging coding project and it works perfectly!,1
My flight got cancelled and I'm stuck at the airport.,0
Feeling thankful for the roof over my head and food on the table.,1
"This recipe is a disaster, it tastes nothing like the picture.",0
Had a fantastic bike ride through the countryside this morning.,1
My identity got stolen and I'm dealing with the aftermath.,0
So lucky to have such a loving and supportive partner.,1
"This customer service is a joke, they never respond.",0
Just finished a great workout and feeling energized!,1
My neighbor is playing loud music at 3 AM. Unacceptable!,0
Feeling fortunate to live in a country with so many opportunities.,1
"This news story is so depressing, I can't even finish reading it.",0
Had a wonderful time stargazing with my kids last night.,1
My luggage got lost on my international trip. Fantastic.,0
Feeling grateful for the simple pleasures in life.,1
"This app is a privacy nightmare, I'm deleting it immediately.",0
Just had a delicious homemade pizza for dinner.,1
My landlord is refusing to fix the broken heater in winter.,0
Feeling so happy and at peace after a meditation session.,1
"This clothing store is a ripoff, the quality is terrible.",0
Had a memorable trip to a national park last week.,1
My package was delivered to the wrong address again.,0
I feel extremely lucky to have the chance to further my education.,1
The food I ordered from Doordash wasn't even what I asked for,0
I enjoyed the company of my friends over dinner at the restaurant,1
The cashier was extremely rude and gave me the wrong change.,0
I am very thankful for my cat constantly being there to cuddle with me.,1
"I ran out of gas on my way to work, what a terrible start!",0
I feel very grateful to be alive today and living my best life.,1
I accidentally dropped my phone down the toilet at a restaurant.,0
The new Taylor Swift album is so good! I love it,1
I can't find my house keys anywhere and its freezing outside,0
"Ugh, woke up with a terrible headache.",0
Just got accepted into my dream university!,1
This meeting is dragging on forever.,0
Spent the day volunteering at a local soup kitchen. Feels good to give back.,1
My rent just increased by 20%! This is ridiculous.,0
Feeling so blessed to have such supportive friends in my life.,1
This product is defective and the company won't respond.,0
Had a lovely afternoon reading in the sunshine.,1
Missed my connecting flight because of a delay. Stranded at the airport.,0
Feeling incredibly grateful for the little things.,1
This website is so confusing and hard to navigate.,0
Just finished an intense workout and feeling amazing!,1
My neighbor's dog won't stop barking. So annoying.,0
Feeling so lucky to be able to travel the world.,1
This movie was a complete waste of time and money.,0
Spent the afternoon baking cookies with my kids.,1
My car broke down on the side of the road. What a nightmare.,0
So thankful for my health and the ability to be active.,1
"This textbook is so dry and boring, I can't focus.",0
Just had a delicious meal at my favorite restaurant.,1
My package was stolen from my front porch. Unbelievable!,0
Feeling so fortunate to have a loving and supportive family.,1
